Nome,Localidade,Tipo_inferido,Min_meses,Max_meses,Confianca,Telefone_status,Telefone_orig,Email,Lat,Lon
Sol,Caparica,Infantário,4,72,Verificar,SEM_TEL,,,38.667099,-9.188538
Chupetas e Biberons Creche,Lisboa,Creche,4,36,Alta,INVALIDO,+35121758 895,,38.759627,-9.166697
Só miminhos,Lisboa,Desconhecido,4,72,Verificar,OK,212412811,crechesomiminhos@gmail.com,38.753933,-9.168773
jardim creche,,Creche,4,36,Alta,SEM_TEL,,,38.706515,-9.176237
sonhos e fantasias,,Desconhecido,4,72,Verificar,SEM_TEL,,,38.77555,-9.261627
Cantinho das Fadas- Berçario e Babysitting,,Berçário,4,12,Alta,SEM_TEL,,,38.705839,-9.229177
Colégio Bebecas,,Infantário,4,72,Verificar,OK,+351214015150,,38.748458,-9.176132
Gente Pequena,,Desconhecido,4,72,Verificar,SEM_TEL,,,38.677556,-9.158932
Ba,,Desconhecido,4,72,Verificar,SEM_TEL,,,38.736069,-9.15568
Creche do Gato Amarelo,,Creche,4,36,Alta,SEM_TEL,,,38.757764,-9.095141
Rute,,Desconhecido,4,72,Verificar,SEM_TEL,,,38.753944,-9.206542
A Patatina,Lisboa,Desconhecido,4,72,Verificar,OK,218484757,,38.759742,-9.138381
Mimos & Compª,,Desconhecido,4,72,Verificar,OK,+351 265 415 881,,38.676761,-9.161453
Centro de Acolhimento de Campolide,Lisboa,Infantário,4,72,Verificar,SEM_TEL,,,38.735429,-9.165486
Centro Sagrada Família,,Desconhecido,4,72,Verificar,SEM_TEL,,,38.706235,-9.224583
Creche da Paróquia de Nossa Senhora do Amparo,,Creche,4,36,Alta,SEM_TEL,,,38.751312,-9.202608
Externato Tim Tim,,Infantário,4,72,Verificar,SEM_TEL,,,38.654003,-9.16585
AFID Kids Alfragide,,Desconhecido,4,72,Verificar,SEM_TEL,,,38.729837,-9.211289
Creche Jardim Infatil,,Creche,4,36,Alta,SEM_TEL,,,38.754475,-9.263106
Creche da Venteira,,Creche,4,36,Alta,SEM_TEL,,,38.757076,-9.246867
